Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.968750,5.997750,5.918000,5.997750,5.963802,237536000
2020-01-03,5.877500,5.945750,5.852500,5.901750,5.868346,205384000
2020-01-06,5.808000,5.931750,5.781750,5.926500,5.892958,262636000
2020-01-07,5.955000,6.044250,5.909750,5.998250,5.964301,314856000
2020-01-08,5.994000,6.051000,5.953750,6.009500,5.975487,277108000
2020-01-09,6.096250,6.148250,6.021500,6.075500,6.041114,255112000
2020-01-10,6.183250,6.213750,6.093750,6.108000,6.073429,316296000
2020-01-13,6.191500,6.324750,6.168750,6.299500,6.263845,319840000
2020-01-14,6.256500,6.282000,6.168750,6.182000,6.147011,359088000
2020-01-15,6.194750,6.217250,6.113250,6.139250,6.104502,263104000
2020-01-16,6.193000,6.229250,6.169500,6.223250,6.188029,284192000
2020-01-17,6.242500,6.250000,6.184250,6.232000,6.196727,253792000
2020-01-21,6.195250,6.232250,6.164250,6.198500,6.163416,217916000
2020-01-22,6.244000,6.339750,6.225000,6.252750,6.217360,239240000
2020-01-23,6.293000,6.330000,6.203750,6.321500,6.285722,244516000
2020-01-24,6.437500,6.487500,6.207500,6.262000,6.226557,373512000
2020-01-27,5.956000,6.056250,5.805750,6.005000,5.971013,470536000
2020-01-28,6.071250,6.231750,6.017750,6.199250,6.164163,310976000
2020-01-29,6.184750,6.221000,6.098500,6.138500,6.103757,258848000
2020-01-30,6.040250,6.158750,5.985000,6.145250,6.110470,290504000
2020-01-31,6.099250,6.111250,5.868750,5.910750,5.877296,370420000
2020-02-03,5.892500,6.027750,5.886250,6.008250,5.974245,255564000
2020-02-04,6.150750,6.197500,6.100500,6.178250,6.143283,271544000
2020-02-05,6.299750,6.310000,6.185250,6.269000,6.233518,208220000
2020-02-06,6.303500,6.356250,6.222000,6.356250,6.320274,218284000
2020-02-07,6.316000,6.338250,6.264250,6.289750,6.254150,189752000
2020-02-10,6.312500,6.575000,6.307500,6.574250,6.537040,529608000
2020-02-11,6.683000,6.812500,6.620750,6.697250,6.659344,638556000
2020-02-12,6.750250,6.820000,6.711250,6.813500,6.774936,374644000
2020-02-13,6.755250,6.837000,6.727750,6.769500,6.731185,528016000
2020-02-14,7.181500,7.374250,7.150000,7.244750,7.203746,1041924000
2020-02-18,7.141000,7.432750,7.121500,7.414250,7.372287,620164000
2020-02-19,7.537250,7.885250,7.537250,7.867500,7.822971,694332000
2020-02-20,7.819250,7.908000,7.408750,7.717500,7.673820,810052000
2020-02-21,7.604750,7.630000,7.266500,7.351750,7.310140,768180000
2020-02-24,6.754750,7.046750,6.700000,6.832000,6.793333,856916000
2020-02-25,6.907500,6.969750,6.449000,6.551250,6.514172,1055496000
2020-02-26,6.551500,6.886250,6.550000,6.691250,6.653379,747732000
2020-02-27,6.372500,6.675000,6.222250,6.315000,6.283015,906416000
2020-02-28,6.061500,6.811500,6.044750,6.751750,6.717552,1133252000
2020-03-02,6.922500,6.939750,6.525000,6.910750,6.875745,890744000
2020-03-03,6.966750,7.026750,6.561500,6.647250,6.613580,652792000
2020-03-04,6.755000,7.122250,6.680000,7.112750,7.076724,597408000
2020-03-05,6.912500,7.080000,6.787500,6.832250,6.797645,540328000
2020-03-06,6.652000,6.709750,6.450000,6.651000,6.617312,515412000
2020-03-09,5.997500,6.485000,5.954500,6.136000,6.104921,614160000
2020-03-10,6.413500,6.527000,6.149750,6.527000,6.493940,580648000
2020-03-11,6.386500,6.415000,6.064250,6.161750,6.130540,499964000
2020-03-12,5.636500,5.903000,5.395000,5.407750,5.380360,816540000
2020-03-13,5.762500,6.025500,5.490250,6.021000,5.990504,634836000
2020-03-16,5.310250,5.652500,4.850000,4.910000,4.885131,726972000
2020-03-17,5.022750,5.521500,4.775000,5.431750,5.404238,833632000
2020-03-18,5.002500,5.248500,4.517000,5.070500,5.044817,874268000
2020-03-19,5.049000,5.418250,4.834750,5.324250,5.297283,765512000
2020-03-20,5.475000,5.758000,5.128250,5.143750,5.117697,804636000
2020-03-23,5.142750,5.412000,4.963000,5.317250,5.290318,643876000
2020-03-24,5.725000,6.316500,5.701250,6.229500,6.197947,1101644000
2020-03-25,6.345000,6.545500,6.091500,6.140500,6.109399,793432000
2020-03-26,6.348500,6.555500,6.250000,6.431000,6.398427,696108000
2020-03-27,6.250000,6.578000,6.217000,6.318250,6.286248,638828000
2020-03-30,6.384000,6.649000,6.339750,6.639750,6.606120,602252000
2020-03-31,6.680000,6.885000,6.443750,6.590000,6.556623,949960000
2020-04-01,6.391250,6.538250,6.032000,6.076750,6.045970,656912000
2020-04-02,6.106000,6.400000,6.057750,6.386750,6.354399,675764000
2020-04-03,6.349000,6.390750,5.959750,6.097750,6.066865,663212000
2020-04-06,6.381000,6.747000,6.323250,6.710000,6.676013,727884000
2020-04-07,6.932500,6.956250,6.432500,6.475750,6.442949,784520000
2020-04-08,6.585250,6.698750,6.515000,6.673750,6.639947,542444000
2020-04-09,6.800000,6.823000,6.510500,6.573750,6.540454,525564000
2020-04-13,6.513750,6.755000,6.425000,6.746250,6.712081,398408000
2020-04-14,6.875000,7.133000,6.847250,7.098750,7.062794,530948000
2020-04-15,6.930000,7.104250,6.884500,7.021000,6.985438,366148000
2020-04-16,7.177000,7.475000,7.163750,7.367500,7.330183,745620000
2020-04-17,7.450000,7.471500,7.173500,7.308000,7.270984,539120000
2020-04-20,7.181000,7.337500,7.131750,7.176250,7.139901,449388000
2020-04-21,7.057750,7.119250,6.677750,6.737750,6.703622,735160000
2020-04-22,6.930750,7.196750,6.885000,7.153750,7.117516,483356000
2020-04-23,7.196000,7.328500,7.075000,7.100250,7.064287,424160000
2020-04-24,7.090000,7.241750,7.015000,7.239750,7.203080,352328000
2020-04-27,7.374750,7.587500,7.350000,7.427000,7.389380,479388000
2020-04-28,7.575000,7.605000,7.278500,7.284000,7.247106,442904000
2020-04-29,7.419250,7.514500,7.343750,7.461500,7.423707,379160000
2020-04-30,7.407250,7.461500,7.293000,7.307000,7.269988,375916000
2020-05-01,7.108750,7.222500,7.021000,7.069500,7.033692,342096000
2020-05-04,7.022000,7.296000,7.022000,7.282250,7.245364,317556000
2020-05-05,7.386750,7.506750,7.282250,7.343500,7.306305,368896000
2020-05-06,7.423250,7.550000,7.385250,7.444750,7.407041,323464000
2020-05-07,7.584500,7.685250,7.533000,7.621750,7.583146,373732000
2020-05-08,7.693750,7.818750,7.659750,7.812500,7.772930,339216000
2020-05-11,7.807500,8.112500,7.778750,8.065500,8.024650,469060000
2020-05-12,8.123500,8.172500,7.792750,7.802500,7.762979,493060000
2020-05-13,7.917500,8.078500,7.594750,7.780000,7.740592,625852000
2020-05-14,7.841750,8.036000,7.687500,8.030500,7.989824,602312000
2020-05-15,7.889750,8.500500,7.874000,8.490750,8.447742,987660000
2020-05-18,8.760500,8.916500,8.680500,8.750250,8.705930,774460000
2020-05-19,8.790250,9.087500,8.762750,8.805500,8.760898,717320000
2020-05-20,8.991000,9.043000,8.888750,8.970000,8.924565,587536000
2020-05-21,9.051500,9.052500,8.737500,8.775250,8.730804,761068000
2020-05-22,8.825250,9.093000,8.713250,9.026250,8.980531,1038764000
2020-05-26,9.156750,9.181750,8.672000,8.717750,8.673593,770780000
2020-05-27,8.625000,8.632750,7.996750,8.525250,8.482067,1175892000
2020-05-28,8.412250,8.760500,8.379250,8.487000,8.444015,734896000
2020-05-29,8.554500,8.875500,8.485000,8.875500,8.830544,745256000
2020-06-01,8.833250,8.840750,8.689500,8.806250,8.761644,389876000
2020-06-02,8.796250,8.837250,8.658000,8.825250,8.780550,391320000
2020-06-03,8.822250,8.866250,8.700000,8.769500,8.725080,365440000
2020-06-04,8.728000,8.943250,8.677500,8.766500,8.726076,424280000
2020-06-05,8.794500,8.997000,8.708000,8.920000,8.878871,481748000
2020-06-08,8.877250,8.889750,8.685750,8.805000,8.764398,387736000
2020-06-09,8.800000,9.109750,8.751250,9.046000,9.004289,468488000
2020-06-10,9.167750,9.500000,9.153500,9.366750,9.323561,632180000
2020-06-11,9.150000,9.261250,8.786000,8.796250,8.755692,583652000
2020-06-12,9.162500,9.187250,8.703250,8.932500,8.891311,570908000
2020-06-15,8.815250,9.182250,8.743750,9.173750,9.131450,400004000
2020-06-16,9.225000,9.266750,8.838750,9.068500,9.026685,535716000
2020-06-17,9.113750,9.299000,9.070250,9.236000,9.193414,408304000
2020-06-18,9.227000,9.282500,9.114500,9.218000,9.175497,254408000
2020-06-19,9.242500,9.445000,9.227250,9.261250,9.218545,524160000
2020-06-22,9.300000,9.531250,9.273250,9.526750,9.482821,398468000
